ts_utc,ts_brt,hora_brt,dia_semana_brt,origem,destino,data_ida,data_volta,tipo,rank,preco_total_brl,bagagem_brl,bagagem_fonte,custo_total_brl,cia,voos_ida,voos_volta,via_ida,via_volta,partida_ida,chegada_ida,partida_volta,chegada_volta,conexoes_ida,conexoes_volta,duracao_ida,duracao_volta,dentro_teto
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,1,6225.0,3540.0,api,9765.0,AV,"AV86,AV118","AV119,AV249",BOG,BOG,07:35,21:20,23:40,22:30+1,1,1,605,615,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,2,6786.0,3540.0,api-cache,10326.0,AV,"AV86,AV118","AV29,AV85",BOG,BOG,07:35,21:20,15:10,05:25+1,1,1,605,585,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,3,6786.0,3540.0,api-cache,10326.0,AV,"AV86,AV118","AV119,AV199",BOG,BOG,07:35,21:20,23:40,16:05+1,1,1,605,610,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,4,7150.0,3540.0,api-cache,10690.0,AV,"AV86,AV118","AV219,AV85",BOG,BOG,07:35,21:20,16:25,05:25+1,1,1,605,580,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,5,35956.0,0.0,api,35956.0,"AV,UA","AV86,AV118","UA1626,UA149",BOG,EWR,07:35,21:20,12:55,07:10+1,1,1,605,742,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,TPA,2026-09-23,2026-09-29,RT,1,5106.0,1520,estimativa,6626.0,CM,"CM744,CM781","CM394,CM810",PTY,PTY,05:00,23:05,15:27,03:35+1,1,1,621,605,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,TPA,2026-09-23,2026-09-29,RT,2,28411.0,0.0,api,28411.0,"CM,UA","CM744,CM781","UA1117,UA149",PTY,EWR,05:00,23:05,16:00,07:10+1,1,1,621,755,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,TPA,2026-09-23,2026-09-29,RT,3,28557.0,0.0,api-cache,28557.0,"CM,UA","CM744,CM781","UA1370,UA861",PTY,IAD,05:00,23:05,18:47,09:30+1,1,1,621,731,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,GRU,TPA,2026-09-23,2026-09-29,RT,4,35594.0,0.0,api,35594.0,"AV,CM","CM744,CM781","AV195,AV85",PTY,BOG,05:00,23:05,15:45,05:25+1,1,1,621,580,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,VCP,MCO,2026-09-23,2026-09-29,RT,1,13891.0,0.0,isenta,13891.0,AD,AD8706,"AD8731,AD4328",,CNF,09:55,18:00,22:30,11:10+1,0,1,545,590,
2026-08-18 18:58,2026-08-18 15:58,15,Tue,VCP,MCO,2026-09-23,2026-09-29,RT,2,18258.0,0.0,isenta,18258.0,AD,AD8706,AD8707,,,09:55,18:00,20:00,06:00+1,0,0,545,540,
2026-08-18 20:29,2026-08-18 17:29,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,1,6225.0,3540.0,api,9765.0,AV,"AV86,AV118","AV119,AV249",BOG,BOG,07:35,21:20,23:40,22:30+1,1,1,605,615,
2026-08-18 20:29,2026-08-18 17:29,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,2,6699.0,2916.0,api,9615.0,AA,"AA930,AA1693","AA1635,AA929",MIA,MIA,21:25,08:00+1,15:49,05:55+1,1,1,580,574,
2026-08-18 20:29,2026-08-18 17:29,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,3,6699.0,2916.0,api-cache,9615.0,AA,"AA930,AA1693","AA1610,AA995",MIA,MIA,21:25,08:00+1,19:26,08:20+1,1,1,580,578,
2026-08-18 20:29,2026-08-18 17:29,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,4,6786.0,3540.0,api-cache,10326.0,AV,"AV86,AV118","AV29,AV85",BOG,BOG,07:35,21:20,15:10,05:25+1,1,1,605,585,
2026-08-18 20:29,2026-08-18 17:29,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,5,6786.0,3540.0,api-cache,10326.0,AV,"AV86,AV118","AV119,AV199",BOG,BOG,07:35,21:20,23:40,16:05+1,1,1,605,610,
2026-08-18 20:29,2026-08-18 17:29,17,Tue,VCP,MCO,2026-09-23,2026-09-29,RT,1,13891.0,0.0,isenta,13891.0,AD,AD8706,"AD8731,AD4328",,CNF,09:55,18:00,22:30,11:10+1,0,1,545,590,
2026-08-18 20:29,2026-08-18 17:29,17,Tue,VCP,MCO,2026-09-23,2026-09-29,RT,2,18258.0,0.0,isenta,18258.0,AD,AD8706,AD8707,,,09:55,18:00,20:00,06:00+1,0,0,545,540,
2026-08-18 20:45,2026-08-18 17:45,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,1,6699.0,2916.0,api,9615.0,AA,"AA930,AA1693","AA1635,AA929",MIA,MIA,21:25,08:00+1,15:49,05:55+1,1,1,580,574,
2026-08-18 20:45,2026-08-18 17:45,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,2,6699.0,2916.0,api-cache,9615.0,AA,"AA930,AA1693","AA1610,AA995",MIA,MIA,21:25,08:00+1,19:26,08:20+1,1,1,580,578,
2026-08-18 20:45,2026-08-18 17:45,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,3,6225.0,3540.0,api,9765.0,AV,"AV86,AV118","AV119,AV249",BOG,BOG,07:35,21:20,23:40,22:30+1,1,1,605,615,
2026-08-18 20:45,2026-08-18 17:45,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,4,6786.0,3540.0,api-cache,10326.0,AV,"AV86,AV118","AV29,AV85",BOG,BOG,07:35,21:20,15:10,05:25+1,1,1,605,585,
2026-08-18 20:45,2026-08-18 17:45,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,5,6786.0,3540.0,api-cache,10326.0,AV,"AV86,AV118","AV119,AV199",BOG,BOG,07:35,21:20,23:40,16:05+1,1,1,605,610,
2026-08-18 20:45,2026-08-18 17:45,17,Tue,VCP,MCO,2026-09-23,2026-09-29,RT,1,13891.0,0.0,isenta,13891.0,AD,AD8706,"AD8731,AD4328",,CNF,09:55,18:00,22:30,11:10+1,0,1,545,590,
2026-08-18 20:45,2026-08-18 17:45,17,Tue,VCP,MCO,2026-09-23,2026-09-29,RT,2,18258.0,0.0,isenta,18258.0,AD,AD8706,AD8707,,,09:55,18:00,20:00,06:00+1,0,0,545,540,
2026-08-18 20:59,2026-08-18 17:59,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,1,6225.0,1770.0,api-cache,7995.0,AV,"AV86,AV118","AV119,AV249",BOG,BOG,07:35,21:20,23:40,22:30+1,1,1,605,615,
2026-08-18 20:59,2026-08-18 17:59,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,2,6699.0,1458.0,api-cache,8157.0,AA,"AA930,AA1693","AA1635,AA929",MIA,MIA,21:25,08:00+1,15:49,05:55+1,1,1,580,574,
2026-08-18 20:59,2026-08-18 17:59,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,3,6699.0,1458.0,api-cache,8157.0,AA,"AA930,AA1693","AA1610,AA995",MIA,MIA,21:25,08:00+1,19:26,08:20+1,1,1,580,578,
2026-08-18 20:59,2026-08-18 17:59,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,4,6786.0,1770.0,api-cache,8556.0,AV,"AV86,AV118","AV29,AV85",BOG,BOG,07:35,21:20,15:10,05:25+1,1,1,605,585,
2026-08-18 20:59,2026-08-18 17:59,17,Tue,GRU,MCO,2026-09-23,2026-09-29,RT,5,6786.0,1770.0,api-cache,8556.0,AV,"AV86,AV118","AV119,AV199",BOG,BOG,07:35,21:20,23:40,16:05+1,1,1,605,610,
